"requirement_id","description","priority","acceptance","authority","approval","feature_ids","current_disposition","evidence","limitation"
"FR-M1-004","Batas keras diterapkan sebelum ranking; Smart Alternative hanya boleh melonggarkan preferensi lunak dan harus menjelaskan komprominya.","MUST","Kategori, batas biaya/waktu/jarak, dan akses yang ditetapkan sebagai hard constraint tidak dilanggar, termasuk oleh item sponsor.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE02; SE07","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-005","Sistem menghitung service area pejalan kaki dengan batas waktu yang dapat dipilih pada rentang pilot, misalnya 5–15 menit, memakai GIS atau layanan terverifikasi.","MUST","Polygon/hasil jangkauan dapat direproduksi dari input, graph/provider, dan parameter yang sama.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RT04","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-006","Routing mendukung preview, jarak, waktu berjalan, Route Switch, Hindari Ruas Ini, serta Comfort-Aware Route hanya pada ruas yang telah disurvei.","MUST/PILOT","Rute dasar bekerja; perubahan ruas menghitung ulang hasil; alternatif cepat/nyaman menampilkan trade-off dan cakupan data kenyamanan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE07; RT01; RT02; RM01","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-007","Sumber rute dicatat sebagai GETRA pedestrian engine, MAPID Maps, atau fallback yang disetujui.","MUST","UI/API menyertakan route_source pada setiap hasil.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RT01","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-008","Fair Discovery memisahkan Original, Hidden Gem, dan Sponsored.","MUST","Kategori dan label terlihat jelas dalam daftar dan peta.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE04; SE05; AD05","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-009","Sponsored tidak dapat membeli status Hidden Gem atau mengubah skor akses/rute.","MUST","Pengujian ranking membuktikan sponsor tidak mengubah hard constraints dan organic score.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE05; AD05","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-010","Alasan rekomendasi merujuk fakta aktual seperti kategori, jarak, akses, waktu, dan sumber.","MUST","Setiap penjelasan dapat ditelusuri ke field hasil GIS/database.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE05; AI01","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-011","Kondisi tanpa rute atau kandidat dijelaskan secara jujur; sistem dapat menawarkan Smart Alternative tanpa menyamarkannya sebagai exact match.","MUST","UI tidak membuat garis semu, tidak melanggar hard constraint, dan menampilkan preferensi apa yang berubah.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE06","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-012","Geocoding digunakan hanya melalui layanan dan skema yang terverifikasi.","PILOT","Provider, parameter, dan respons terdokumentasi sebelum aktivasi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE01","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-001","Setiap UMKM memiliki profil dengan atribut inti, lokasi, kategori, jam operasional, harga, dan sumber jika tersedia.","MUST","Field yang tidak tersedia ditandai, bukan diisi secara fiktif.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP04; UM03; UM10","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-002","Profil menunjukkan akses transit dan pejalan kaki yang dihitung oleh GIS.","MUST","Metrik mengacu ke stasiun/rute dan metode yang terverifikasi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","UM07","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-003","UMKM Spatial Discoverability menilai tiga lapisan: data readiness, location readiness, dan market relevance.","MUST/PILOT","Diagnosis mencakup kelengkapan data, koordinat/pintu masuk/jaringan pedestrian, serta kesesuaian demand/kompetisi; fakta, inference, dan data kurang dipisahkan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","UM07","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-004","Demand Intelligence menggabungkan Demand Pulse, pencarian tanpa hasil, Request Board, sinyal Struk Go, supply/harga Menu Go, dan Retail Gap sesuai ketersediaan.","PILOT","Output dapat mencakup kategori, rentang harga, waktu kebutuhan, supply gap, dan area demand tinggi; setiap sinyal memiliki definisi, sumber, periode, dan transformasi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AN01; AN02; UM08","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-005","Istilah demand proxy/estimated demand digunakan ketika data tidak mewakili permintaan aktual secara langsung.","MUST","Tidak ada klaim 'permintaan pasti' tanpa validasi yang mendukung.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AN01; AN02; UM08","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-006","AI UMKM Copilot menjelaskan Demand Intelligence, Retail Gap, Request Board, profil, kompetisi, harga, dan jam; dapat membantu draft respons/promosi.","PILOT","Jawaban menyertakan evidence fields, keterbatasan data, dan tidak menjamin omzet, keuntungan, atau keberhasilan usaha.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","UM09","BLOCKED_EXTERNAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-007","Pengguna dapat meninjau konteks waktu/pola aktivitas bila timestamp tersedia.","PILOT","UI menampilkan periode analisis dan tidak mencampur periode tanpa label.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AN03; UM08","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-008","Sponsored Pin dapat dikelola dan selalu diberi label.","MUST","Pin sponsor tidak menyamar sebagai rekomendasi organik.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","UM11; AD01; AD05","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-009","Spatial Promotion mendukung target area/waktu, Contextual Promo Banner, dan campaign analytics tanpa mengubah organic ranking.","PILOT","Analytics dibatasi pada tayangan, klik pin, pembukaan profil, dan permintaan rute; tidak diklaim sebagai transaksi atau ROI.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AD02; AD03; AD04; AD06; AD08","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-010","Verifikasi kepemilikan profil diterapkan sebelum perubahan data oleh pemilik.","PILOT","Workflow autentikasi/otorisasi disetujui sebelum fitur edit publik diaktifkan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","UM02; UM03; UM04; UM05; UM10","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-011","UMKM berkeliling menampilkan lokasi terakhir beserta timestamp dan status verifikasi, bukan lokasi real-time jika data tidak mendukung.","MUST","UI memakai wording 'terakhir ditemukan' dan tidak menyatakan posisi terkini tanpa pembaruan valid.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP04","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M2-012","Poster profil dan Midtrans diperlakukan sebagai fungsi pendukung; payment hanya diaktifkan bila scope, sandbox, dan keamanan telah disetujui.","PILOT","Kegagalan payment/poster tidak memengaruhi ranking, routing, atau klaim inovasi WebGIS.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AD07; AD09","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-001","Opportunity Map menampilkan ruang usaha tercatat, kategori, status sewa/jual, tanggal pencatatan, foto, dan akses transit sesuai field yang tersedia.","PILOT","Setiap titik/polygon berasal dari dataset terverifikasi, menampilkan freshness, dan memiliki provenance.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","BS01; BS02","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-002","Pengguna dapat membandingkan setidaknya dua ruang usaha pada field yang sama.","PILOT","Perbandingan menggunakan periode dan definisi metrik konsisten.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","BS03","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-003","Analisis peluang dapat menggunakan akses, demand proxy, supply gap, persaingan, akses transit, dan aktivitas lokal.","PILOT","Hanya komponen yang datanya tersedia yang dihitung.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","BS02; BS03","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-004","Bobot opportunity score terdokumentasi dan berversi.","PILOT","UI/API dapat menunjukkan komponen, bobot, versi, dan waktu perhitungan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM07","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-005","AI menjelaskan score; AI tidak menghitung atau mengganti komponen score.","PILOT","Narasi dapat ditelusuri ke output analytics.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AN04; BS04","BLOCKED_EXTERNAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-006","Ketiadaan harga, luas, fasilitas, atau status real-time terstruktur menghasilkan flag data tidak cukup, bukan score palsu.","MUST","Business Space Intelligence menyebut hasil sebagai penyaringan awal dan menampilkan field yang tidak tersedia.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","BS02","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M3-007","Hasil tidak diposisikan sebagai rekomendasi investasi, jaminan keuntungan, atau penilaian legalitas.","MUST","UI menyatakan hasil sebagai decision support dengan freshness dan keterbatasan data.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","BS02","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-001","GETRA Community menampilkan kontribusi yang terikat lokasi.","MUST","Kontribusi memiliki geometri/koordinat valid dan dapat ditemukan di peta.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","CO01; CO04","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-002","Contribution Form menerima kategori, deskripsi, lokasi, waktu, dan foto bila tersedia.","MUST","Validasi wajib mencegah payload kosong atau lokasi di luar area yang diizinkan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","CO02; CO03; CO12","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-003","Kontribusi memiliki attribution, lokasi/ruas, timestamp, serta tipe seperti Temuan Komuter, Cultural Map, Permintaan Komuter, aksesibilitas, atau perubahan usaha.","MUST","Setiap tipe memiliki schema; data publik menampilkan attribution/timestamp dan geo-anchor sesuai kebijakan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","CO01; CO04; CO05","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-004","Kontribusi menjalani moderasi/validasi; points, Trust Score, batas laporan, dan histori hanya mendukung kualitas partisipasi.","MUST/PILOT","Status pending/validated/rejected terlihat; reputasi tidak menggantikan pemeriksaan lokasi, waktu, dan bukti.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","CO11; CO13; AM04; AM05","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-005","Permintaan Komuter yang serupa dapat diagregasi secara spasial dan menerima respons UMKM terstruktur.","PILOT","Respons menggunakan status sudah tersedia, akan diuji, sedang disiapkan, atau belum dapat disediakan; agregasi menyimpan periode dan area.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","CO06; CO07; CO08","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-006","MAPID Apps/FORM digunakan untuk survei lapangan wajib sesuai akses yang tersedia.","MUST","Rekaman survei dapat ditelusuri dari MAPID ke dataset GETRA.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP06; CO13","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-007","Satu Explore Trail tersedia pada klaster pilot dan dikurasi manual untuk MVP.","PILOT","Trail memiliki urutan, geometri/stop, durasi/budget/tema, deskripsi, bukti lapangan, serta tidak diklaim dibuat otomatis oleh AI.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM02","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M4-008","Community evidence tidak otomatis menjadi kebenaran sistem.","MUST","UI/API menyertakan status validasi dan sumber kontribusi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP07; CO12; CO13","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-001","Transit Area Profile merangkum akses, UMKM dominan, waktu aktivitas, pola harga, supply/demand, dan karakter kawasan hanya jika didukung data.","FOUNDATION","Setiap indikator memiliki definisi, sumber, periode, dan metode; label seperti kawasan kampus/kantor tidak dibuat tanpa bukti.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM03","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-002","Accessibility Need Map memetakan kebutuhan pengguna, bukan sekadar inventaris fasilitas fisik.","FOUNDATION","Kebutuhan seperti rute tanpa tangga, ramp, stroller, atau minim penyeberangan berasal dari kontribusi/agregasi yang cukup dan dapat direproduksi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP08","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-003","Waste Pressure Map menggunakan kepadatan usaha, waktu transaksi, kondisi pembeli, laporan komunitas, dan fasilitas yang tersedia sebagai proxy.","FOUNDATION","Output hanya zona/waktu potensi tekanan dan prioritas perhatian; tidak menyatakan volume sampah aktual tanpa penimbangan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM04","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-004","Scenario Closure memisahkan BASELINE dan SCENARIO secara eksplisit.","PILOT","UI/API menampilkan parameter kedua kondisi dan waktu kalkulasi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM05","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-005","GIS menghitung rute alternatif, tambahan waktu, perubahan service area, UMKM kehilangan akses, dan ruas penting akibat penutupan.","PILOT","Hasil dapat diuji ulang dengan input skenario, graph, data version, dan parameter yang sama.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM05","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-006","AI hanya merangkum perbedaan baseline–scenario.","PILOT","Narasi tidak berisi angka atau geometri di luar hasil GIS.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM05","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-007","Time-Capsule menyimpan perubahan UMKM, harga/menu, properti, demand, akses pedestrian, dan Retail Gap dengan versi waktu.","FOUNDATION","Record memiliki valid_from, valid_to bila ada, recorded_at, source, verification status, serta dapat dibedakan dari data terkini.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM06","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M5-008","Satu skenario penutupan yang koheren tersedia untuk demo.","PILOT","Skenario memiliki alasan, area, baseline, scenario, hasil, dan keterbatasan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","RM05","NOT_FOUND","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-001","AI parser menghasilkan structured query JSON yang mengikuti schema dan allowlist.","MUST","Payload yang tidak valid ditolak sebelum menyentuh GIS/database.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE03","BLOCKED_EXTERNAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-002","Semua structured output divalidasi tipe, enum, rentang, dan field yang diizinkan.","MUST","Test mencakup field ekstra, enum salah, injection, dan nilai kosong.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE03","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-003","AI explanation hanya menerima result set dan evidence fields yang telah dihitung.","MUST","Prompt/context tidak meminta AI menebak data yang tidak tersedia.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AI01; AN04","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-004","Setiap rekomendasi memiliki alasan yang dapat ditelusuri.","MUST","UI menampilkan faktor utama dan sumber/indikator terkait.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AI01","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-005","Ketidakpastian dan data kurang dinyatakan secara eksplisit.","MUST","Jawaban tidak mengganti UNKNOWN dengan asumsi tersembunyi.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AI01","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-006","Manual fallback tersedia untuk semua core search/filter flow.","MUST","Core flow dapat selesai saat layanan AI dinonaktifkan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE02","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-007","Koordinat, geometri, jarak, score, ranking, dan agregasi tidak dibuat oleh AI.","MUST","Pengujian grounding menolak output yang tidak ada dalam evidence.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AI01","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-AI-008","Status kegagalan AI dicatat tanpa menyimpan secret atau data sensitif.","MUST","Log memuat request ID/status/latency, bukan prompt sensitif atau API key.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","AI01","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
